time_d,T_r000,T_r010
923.0,19.625104850164746,19.582897076280574
924.0,19.610612354505065,19.56586761883557
925.0,19.59524215631444,19.547825017345474
926.0,19.57901838150974,19.52873425396831
927.0,19.56177285620538,19.508539770898665
928.0,19.54354108151,19.48720737643248
929.0,19.524239027769283,19.46469866046499
930.0,19.503834121178272,19.440987740947207
931.0,19.482272195350447,19.416044888416366
932.0,19.45962574717464,19.389843706840395
933.0,19.43571330964693,19.362385770779383
934.0,19.410622836816685,19.33365021400664
935.0,19.384147898978597,19.303625838132973
936.0,19.35659296324195,19.27229111596347
937.0,19.32773667166913,19.23964994098924
938.0,19.29758049242065,19.20570649043958
939.0,19.266120574489946,19.17046986483558
940.0,19.233314136746003,19.133950229937682
941.0,19.199324393660618,19.096154472851254
942.0,19.163992096415313,19.057093607307195
943.0,19.127382285949693,19.01680103701608
944.0,19.089520065828083,18.975291391424605
945.0,19.050401353310576,18.93258654793175
946.0,19.01006379280244,18.888713834069733
947.0,18.968508905367912,18.843706540612516
948.0,18.925777975540086,18.797594250564032
949.0,18.88189600633359,18.750407128802124
950.0,18.836886352904287,18.702180821356194
951.0,18.79078950421342,18.652949227149577
952.0,18.743631579902967,18.60274887918706
953.0,18.695452389925094,18.551617900298254
954.0,18.646285458343073,18.499588958606637
955.0,18.596155027469422,18.44670290356612
956.0,18.545089708675505,18.39299153398514
957.0,18.49314857348594,18.338495545056844
958.0,18.440358971990634,18.283259224610106
959.0,18.38674280949681,18.227325228811083
960.0,18.33232584665126,18.170740481411315
961.0,18.27713253201614,18.1135545160339
962.0,18.22134934825226,18.055809364994843
963.0,18.1648719918482,17.997556638000503
964.0,18.107825547970492,17.93883363543057
965.0,18.050143395349494,17.879687163229846
966.0,17.99202680663211,17.820158778795133
967.0,17.933465329285013,17.76029401367532
968.0,17.874476081455896,17.700136036370793
969.0,17.815079942575267,17.639722280283934
970.0,17.75527864924129,17.579100677561655
971.0,17.69532977299417,17.518304274844297
972.0,17.635090740879434,17.457372830226916
973.0,17.57461331603139,17.396346128732205
974.0,17.513967368599992,17.33525863439803
975.0,17.453124858089097,17.274156093329964
976.0,17.39232457448702,17.213057472339983
977.0,17.3314009912271,17.152003664419908
978.0,17.270424079619772,17.091034063977986
979.0,17.209532070314367,17.030158048627868
980.0,17.148647013391553,16.9694187292219
981.0,17.087840255059916,16.908845700073527
982.0,17.027130544552904,16.848465310078552
983.0,16.966574839752013,16.788301347662184
984.0,16.906178062670733,16.728380654453304
985.0,16.84597929505145,16.66872447596296
986.0,16.785989272828544,16.609357466293318
987.0,16.726244416491454,16.55029774252381
988.0,16.66675949012921,16.49156187288935
989.0,16.607556533606214,16.433161024414574
990.0,16.54867341775929,16.37510548590376
991.0,16.531641497668375,16.371027919561868
992.0,16.502317957846117,16.371167305336428
993.0,16.477549114894373,16.371275359203594
994.0,16.45756850246795,16.371354542180825
995.0,16.441430782577584,16.371405781823512
996.0,16.428272695620763,16.371430215997464
997.0,16.417429511530486,16.371428836536438
998.0,16.408400858581956,16.371402483674558
999.0,16.400800986770378,16.371352124918076
1000.0,16.394334229962624,16.37127858341495
1001.0,16.388777315133893,16.371182648491867
1002.0,16.383942671971624,16.371065098539987
1003.0,16.379698971695177,16.370926634050818
1004.0,16.3759379744954,16.370767917966646
1005.0,16.372574466394838,16.370589682540924
1006.0,16.369541757816705,16.37039249979614
1007.0,16.366785062622967,16.37017705512835
1008.0,16.36426000269398,16.36994386845913
1009.0,16.361929677006458,16.369693594008822
1010.0,16.359766045113417,16.369426706483978
1011.0,16.35774504664056,16.369143707381
1012.0,16.35584698180037,16.36884521507801
1013.0,16.354055285755294,16.368531722351065
1014.0,16.35235619667958,16.368203703890572
1015.0,16.350738118071604,16.367861603437404
1016.0,16.34919131060326,16.367505835759232
1017.0,16.34770747349404,16.36713685049557
1018.0,16.346279498013928,16.36675498582099
1019.0,16.344901278882446,16.366360647508486
1020.0,16.343567600645315,16.365954296704842
1021.0,16.342273858125566,16.3655362224668
1022.0,16.34101610770017,16.365106855415377
1023.0,16.33979072830232,16.364666536578056
1024.0,16.338594708509333,16.36421558935109
1025.0,16.33742532190564,16.363754259767006
1026.0,16.33628030522641,16.36328291717649
1027.0,16.33515750163366,16.36280176211045
1028.0,16.334055029970102,16.362311169834754
1029.0,16.332971236564504,16.361811387972125
1030.0,16.331904598409267,16.361302705411504
1031.0,16.330853694025507,16.360785374451723
1032.0,16.329817309782243,16.360259650293244
1033.0,16.328794360895245,16.35972572234641
1034.0,16.327783748173033,16.35918385237244
1035.0,16.326784662418504,16.358634250488535
1036.0,16.325796170542674,16.35807717076267
1037.0,16.32481750406464,16.357512777876423
1038.0,16.323848030498198,16.356941304673228
1039.0,16.322887051260523,16.356362956591227
1040.0,16.321933974164494,16.355777910260713
1041.0,16.320988261194145,16.35518635203732
1042.0,16.320049332920178,16.354588410909514
1043.0,16.31911694203467,16.353984289646064
1044.0,16.31819059190616,16.353374145321084
1045.0,16.317269716674218,16.352758116873986
1046.0,16.316354110962322,16.35213638918526
1047.0,16.315443373148298,16.351509105592527
1048.0,16.31453729803468,16.350876406904717
1049.0,16.31363541522967,16.350238394714154
1050.0,16.312737584100603,16.349595233136597
1051.0,16.311843601499902,16.348947076379147
1052.0,16.310953109802256,16.348294014862233
