,temp
399,19.998943328857422
400,19.99895477294922
401,19.998966217041016
402,19.998979568481445
403,19.99898910522461
404,19.99900245666504
405,19.999011993408203
406,19.999019622802734
407,19.99903106689453
408,19.999038696289062
409,19.99905014038086
410,19.99905776977539
411,19.999065399169922
412,19.999074935913086
413,19.999082565307617
414,19.99909019470215
415,19.999099731445312
416,19.99910545349121
417,19.999113082885742
418,19.999120712280273
419,19.999128341674805
420,19.999134063720703
421,19.999141693115234
422,19.999149322509766
423,19.999155044555664
424,19.999160766601562
425,19.99916648864746
426,19.99917221069336
427,19.99917984008789
428,19.999183654785156
429,19.999189376831055
430,19.999195098876953
431,19.99920082092285
432,19.99920654296875
433,19.999210357666016
434,19.999216079711914
435,19.99921989440918
436,19.999225616455078
437,19.999231338500977
438,19.999235153198242
439,19.99924087524414
440,19.99924659729004
441,19.999248504638672
442,19.99925422668457
443,19.999258041381836
444,19.9992618560791
445,19.999265670776367
446,19.999271392822266
447,19.9992733001709
448,19.999279022216797
449,19.999282836914062
450,19.997547149658203
451,19.995763778686523
452,19.993938446044922
453,19.992069244384766
454,19.990177154541016
455,19.988256454467773
456,19.986310958862305
457,19.98434829711914
458,19.982372283935547
459,19.980382919311523
460,19.978382110595703
461,19.97637367248535
462,19.9743595123291
463,19.972339630126953
464,19.970317840576172
465,19.96829605102539
466,19.966266632080078
467,19.964244842529297
468,19.962215423583984
469,19.960193634033203
470,19.95816993713379
471,19.956151962280273
472,19.954133987426758
473,19.95212173461914
474,19.95011329650879
475,19.948104858398438
476,19.946102142333984
477,19.944107055664062
478,19.942115783691406
479,19.940128326416016
480,19.93814468383789
481,19.93617057800293
482,19.934200286865234
483,19.932231903076172
484,19.93027114868164
485,19.92831802368164
486,19.92637062072754
487,19.92442512512207
488,19.9224853515625
489,19.920555114746094
490,19.918628692626953
491,19.91670799255371
492,19.914796829223633
493,19.912885665893555
494,19.91098403930664
495,19.909088134765625
496,19.907194137573242
497,19.905311584472656
498,19.903430938720703
499,19.901561737060547
500,19.89969253540039
501,19.897830963134766
502,19.895977020263672
503,19.894128799438477
504,19.892282485961914
505,19.890445709228516
506,19.88861656188965
507,19.886789321899414
508,19.884963989257812
509,19.88315200805664
510,19.8813419342041
511,19.879535675048828
512,19.877735137939453
513,19.87594223022461
514,19.8741512298584
515,19.872371673583984
516,19.870594024658203
517,19.868824005126953
518,19.867053985595703
519,19.865293502807617
520,19.863536834716797
521,19.86178207397461
522,19.860034942626953
523,19.858291625976562
524,19.856555938720703
525,19.85482406616211
526,19.853097915649414
527,19.85137367248535
528,19.849655151367188
529,19.847942352294922
530,19.846233367919922
531,19.844528198242188
532,19.842830657958984
533,19.841135025024414
534,19.839445114135742
535,19.837759017944336
536,19.836078643798828
537,19.834400177001953
538,19.83272933959961
539,19.83106231689453
540,19.80828857421875
541,19.794906616210938
542,19.783992767333984
543,19.774259567260742
544,19.76519775390625
545,19.75655746459961
546,19.748197555541992
547,19.74003791809082
548,19.732013702392578
549,19.72408676147461
550,19.716224670410156
551,19.708398818969727
552,19.700578689575195
553,19.692747116088867
554,19.684871673583984
555,19.676931381225586
556,19.668895721435547
557,19.66072654724121
558,19.652393341064453
559,19.643857955932617
560,19.635074615478516
561,19.62598991394043
562,19.616558074951172
563,19.60672378540039
564,19.59642219543457
565,19.585590362548828
566,19.57416343688965
567,19.562068939208984
568,19.54922866821289
569,19.535573959350586
570,19.521024703979492
571,19.505502700805664
572,19.48893165588379
573,19.471223831176758
574,19.452312469482422
575,19.432113647460938
576,19.410554885864258
577,19.387563705444336
578,19.363075256347656
579,19.337018966674805
580,19.309337615966797
581,19.279972076416016
582,19.24887466430664
583,19.215999603271484
584,19.18130874633789
585,19.144763946533203
586,19.10634422302246
587,19.066020965576172
588,19.023784637451172
589,18.979631423950195
590,18.933555603027344
591,18.885562896728516
592,18.835664749145508
593,18.783885955810547
594,18.730243682861328
595,18.67477798461914
596,18.617517471313477
597,18.55850601196289
598,18.49779510498047
599,18.4354305267334
600,18.371471405029297
601,18.30597496032715
602,18.239013671875
603,18.17064094543457
604,18.100934982299805
605,18.029970169067383
606,17.957815170288086
607,17.884552001953125
608,17.810256958007812
609,17.735008239746094
610,17.658885955810547
611,17.581974029541016
612,17.504350662231445
613,17.42609405517578
614,17.347286224365234
615,17.26801109313965
616,17.18834114074707
617,17.108360290527344
618,17.02814292907715
619,16.9477596282959
620,16.867292404174805
621,16.786808013916016
622,16.706371307373047
623,16.626052856445312
624,16.545923233032227
